Trace1,
Freq,,Amp,,
            52999947,Hz,              -83.05, dBm,
            53333280,Hz,              -79.14, dBm,
            53666613,Hz,              -80.02, dBm,
            53999946,Hz,              -81.32, dBm,
            54333279,Hz,              -80.78, dBm,
            54666612,Hz,              -66.99, dBm,
            54999945,Hz,              -26.49, dBm,
            55333278,Hz,              -79.84, dBm,
            55666611,Hz,              -80.25, dBm,
            55999944,Hz,              -80.72, dBm,
            56333277,Hz,              -79.34, dBm,
            56666610,Hz,              -80.89, dBm,
            56999943,Hz,              -81.23, dBm,
            57333276,Hz,              -80.84, dBm,
            57666609,Hz,              -79.23, dBm,
            57999942,Hz,              -80.90, dBm,
            58333275,Hz,              -82.05, dBm,
            58666608,Hz,              -79.66, dBm,
            58999941,Hz,              -82.84, dBm,
            59333274,Hz,              -78.77, dBm,
            59666607,Hz,              -75.03, dBm,
            59999940,Hz,              -27.21, dBm,
            60333273,Hz,              -78.99, dBm,
            60666606,Hz,              -82.67, dBm,
            60999939,Hz,              -78.51, dBm,
            61333272,Hz,              -82.01, dBm,
            61666605,Hz,              -79.85, dBm,
            61999938,Hz,              -80.25, dBm,
            62333271,Hz,              -80.23, dBm,
            62666604,Hz,              -81.14, dBm,
            62999937,Hz,              -80.40, dBm,
            63333270,Hz,              -78.48, dBm,
            63666603,Hz,              -79.86, dBm,
            63999936,Hz,              -80.79, dBm,
            64333269,Hz,              -80.20, dBm,
            64666602,Hz,              -74.88, dBm,
            64999935,Hz,              -28.21, dBm,
            65333268,Hz,              -80.44, dBm,
            65666601,Hz,              -78.42, dBm,
            65999934,Hz,              -81.44, dBm,
            66333267,Hz,              -80.15, dBm,
            66666600,Hz,              -80.56, dBm,
            66999933,Hz,              -81.08, dBm,
            67333266,Hz,              -80.73, dBm,
            67666599,Hz,              -80.27, dBm,
            67999932,Hz,              -83.32, dBm,
            68333265,Hz,              -80.14, dBm,
            68666598,Hz,              -79.93, dBm,
            68999931,Hz,              -81.06, dBm,
            69333264,Hz,              -80.08, dBm,
            69666597,Hz,              -73.23, dBm,
            69999930,Hz,              -29.12, dBm,
            70333263,Hz,              -80.26, dBm,
            70666596,Hz,              -80.46, dBm,
            70999929,Hz,              -79.86, dBm,
            71333262,Hz,              -78.54, dBm,
            71666595,Hz,              -79.41, dBm,
            71999928,Hz,              -81.25, dBm,
            72333261,Hz,              -80.84, dBm,
            72666594,Hz,              -78.55, dBm,
            72999927,Hz,              -78.34, dBm,
            73333260,Hz,              -80.15, dBm,
            73666593,Hz,              -78.73, dBm,
            73999926,Hz,              -80.46, dBm,
            74333259,Hz,              -78.39, dBm,
            74666592,Hz,              -77.92, dBm,
            74999925,Hz,              -29.76, dBm,
            75333258,Hz,              -81.36, dBm,
            75666591,Hz,              -80.12, dBm,
            75999924,Hz,              -81.69, dBm,
            76333257,Hz,              -81.42, dBm,
            76666590,Hz,              -82.13, dBm,
            76999923,Hz,              -80.34, dBm,
            77333256,Hz,              -82.30, dBm,
            77666589,Hz,              -79.90, dBm,
            77999922,Hz,              -81.42, dBm,
            78333255,Hz,              -79.64, dBm,
            78666588,Hz,              -80.21, dBm,
            78999921,Hz,              -80.90, dBm,
            79333254,Hz,              -79.34, dBm,
            79666587,Hz,              -75.94, dBm,
            79999920,Hz,              -29.95, dBm,
            80333253,Hz,              -80.78, dBm,
            80666586,Hz,              -79.51, dBm,
            80999919,Hz,              -78.62, dBm,
            81333252,Hz,              -81.36, dBm,
            81666585,Hz,              -82.77, dBm,
            81999918,Hz,              -79.82, dBm,
            82333251,Hz,              -82.02, dBm,
            82666584,Hz,              -80.80, dBm,
            82999917,Hz,              -80.20, dBm,
            83333250,Hz,              -80.52, dBm,
            83666583,Hz,              -80.21, dBm,
            83999916,Hz,              -80.09, dBm,
            84333249,Hz,              -80.82, dBm,
            84666582,Hz,              -79.68, dBm,
            84999915,Hz,              -30.21, dBm,
            85333248,Hz,              -80.34, dBm,
            85666581,Hz,              -78.92, dBm,
