Trace1,
Freq,,Amp,,
                   0,Hz,               -6.23, dBm,
              333333,Hz,              -79.44, dBm,
              666666,Hz,              -79.84, dBm,
              999999,Hz,              -82.90, dBm,
             1333332,Hz,              -77.26, dBm,
             1666665,Hz,              -82.43, dBm,
             1999998,Hz,              -80.55, dBm,
             2333331,Hz,              -80.96, dBm,
             2666664,Hz,              -80.39, dBm,
             2999997,Hz,              -80.29, dBm,
             3333330,Hz,              -81.64, dBm,
             3666663,Hz,              -78.36, dBm,
             3999996,Hz,              -78.53, dBm,
             4333329,Hz,              -81.23, dBm,
             4666662,Hz,              -56.03, dBm,
             4999995,Hz,               -7.45, dBm,
             5333328,Hz,              -77.63, dBm,
             5666661,Hz,              -78.45, dBm,
             5999994,Hz,              -80.78, dBm,
             6333327,Hz,              -79.93, dBm,
             6666660,Hz,              -80.56, dBm,
             6999993,Hz,              -82.73, dBm,
             7333326,Hz,              -79.69, dBm,
             7666659,Hz,              -80.39, dBm,
             7999992,Hz,              -81.37, dBm,
             8333325,Hz,              -80.76, dBm,
             8666658,Hz,              -82.45, dBm,
             8999991,Hz,              -81.94, dBm,
             9333324,Hz,              -82.85, dBm,
             9666657,Hz,              -56.83, dBm,
             9999990,Hz,              -12.04, dBm,
            10333323,Hz,              -79.87, dBm,
            10666656,Hz,              -80.25, dBm,
            10999989,Hz,              -79.78, dBm,
            11333322,Hz,              -78.22, dBm,
            11666655,Hz,              -79.78, dBm,
            11999988,Hz,              -80.23, dBm,
            12333321,Hz,              -79.14, dBm,
            12666654,Hz,              -79.41, dBm,
            12999987,Hz,              -79.08, dBm,
            13333320,Hz,              -78.56, dBm,
            13666653,Hz,              -82.13, dBm,
            13999986,Hz,              -81.78, dBm,
            14333319,Hz,              -80.40, dBm,
            14666652,Hz,              -57.43, dBm,
            14999985,Hz,              -15.39, dBm,
            15333318,Hz,              -80.02, dBm,
            15666651,Hz,              -77.40, dBm,
            15999984,Hz,              -81.79, dBm,
            16333317,Hz,              -79.29, dBm,
            16666650,Hz,              -79.72, dBm,
            16999983,Hz,              -78.53, dBm,
            17333316,Hz,              -80.41, dBm,
            17666649,Hz,              -80.90, dBm,
            17999982,Hz,              -82.37, dBm,
            18333315,Hz,              -81.56, dBm,
            18666648,Hz,              -81.69, dBm,
            18999981,Hz,              -78.89, dBm,
            19333314,Hz,              -79.32, dBm,
            19666647,Hz,              -67.92, dBm,
            19999980,Hz,              -17.89, dBm,
            20333313,Hz,              -79.31, dBm,
            20666646,Hz,              -80.87, dBm,
            20999979,Hz,              -80.90, dBm,
            21333312,Hz,              -79.22, dBm,
            21666645,Hz,              -82.06, dBm,
            21999978,Hz,              -81.00, dBm,
            22333311,Hz,              -82.26, dBm,
            22666644,Hz,              -80.15, dBm,
            22999977,Hz,              -79.59, dBm,
            23333310,Hz,              -80.70, dBm,
            23666643,Hz,              -82.71, dBm,
            23999976,Hz,              -81.16, dBm,
            24333309,Hz,              -79.05, dBm,
            24666642,Hz,              -65.21, dBm,
            24999975,Hz,              -19.76, dBm,
            25333308,Hz,              -83.03, dBm,
            25666641,Hz,              -79.82, dBm,
            25999974,Hz,              -79.59, dBm,
            26333307,Hz,              -77.25, dBm,
            26666640,Hz,              -80.42, dBm,
            26999973,Hz,              -81.41, dBm,
            27333306,Hz,              -80.12, dBm,
            27666639,Hz,              -79.18, dBm,
            27999972,Hz,              -80.50, dBm,
            28333305,Hz,              -78.95, dBm,
            28666638,Hz,              -78.15, dBm,
            28999971,Hz,              -79.62, dBm,
            29333304,Hz,              -77.76, dBm,
            29666637,Hz,              -69.11, dBm,
            29999970,Hz,              -21.39, dBm,
            30333303,Hz,              -78.93, dBm,
            30666636,Hz,              -81.31, dBm,
            30999969,Hz,              -80.78, dBm,
            31333302,Hz,              -80.06, dBm,
            31666635,Hz,              -81.52, dBm,
            31999968,Hz,              -82.50, dBm,
            32333301,Hz,              -81.02, dBm,
            32666634,Hz,              -81.43, dBm,
            32999967,Hz,              -79.49, dBm,
            33333300,Hz,              -74.45, dBm,
            33666633,Hz,              -80.28, dBm,
            33999966,Hz,              -80.90, dBm,
            34333299,Hz,              -80.29, dBm,
            34666632,Hz,              -72.77, dBm,
            34999965,Hz,              -22.78, dBm,
            35333298,Hz,              -82.76, dBm,
            35666631,Hz,              -79.82, dBm,
            35999964,Hz,              -81.98, dBm,
            36333297,Hz,              -80.68, dBm,
            36666630,Hz,              -81.11, dBm,
            36999963,Hz,              -81.54, dBm,
            37333296,Hz,              -82.07, dBm,
            37666629,Hz,              -78.89, dBm,
            37999962,Hz,              -79.26, dBm,
            38333295,Hz,              -79.59, dBm,
            38666628,Hz,              -79.20, dBm,
            38999961,Hz,              -81.36, dBm,
            39333294,Hz,              -81.01, dBm,
            39666627,Hz,              -66.85, dBm,
            39999960,Hz,              -24.06, dBm,
            40333293,Hz,              -81.86, dBm,
            40666626,Hz,              -76.05, dBm,
            40999959,Hz,              -78.86, dBm,
            41333292,Hz,              -80.24, dBm,
            41666625,Hz,              -81.29, dBm,
            41999958,Hz,              -82.31, dBm,
            42333291,Hz,              -80.43, dBm,
            42666624,Hz,              -80.45, dBm,
            42999957,Hz,              -79.05, dBm,
            43333290,Hz,              -79.25, dBm,
            43666623,Hz,              -81.37, dBm,
            43999956,Hz,              -80.18, dBm,
            44333289,Hz,              -80.03, dBm,
            44666622,Hz,              -69.00, dBm,
            44999955,Hz,              -25.16, dBm,
            45333288,Hz,              -82.30, dBm,
            45666621,Hz,              -80.60, dBm,
            45999954,Hz,              -81.56, dBm,
            46333287,Hz,              -81.58, dBm,
