Frequency_MHz,Amplitude_dBm
1.010492310000000060e+02,-8.065000000000000568e+01
1.013823969999999974e+02,-8.020000000000000284e+01
1.017155630000000031e+02,-8.257999999999999829e+01
1.020487289999999945e+02,-8.031999999999999318e+01
1.023818950000000001e+02,-8.120999999999999375e+01
1.027150610000000057e+02,-8.068000000000000682e+01
1.030482269999999971e+02,-7.942000000000000171e+01
1.033813930000000028e+02,-8.178000000000000114e+01
1.037145589999999942e+02,-7.915999999999999659e+01
1.040477249999999998e+02,-8.154999999999999716e+01
1.043808910000000054e+02,-8.157999999999999829e+01
1.047140569999999968e+02,-8.167000000000000171e+01
1.050472230000000025e+02,-7.920999999999999375e+01
1.053803889999999939e+02,-7.990000000000000568e+01
1.057135549999999995e+02,-7.904999999999999716e+01
1.060467210000000051e+02,-8.181999999999999318e+01
1.063798869999999965e+02,-8.109999999999999432e+01
1.067130530000000022e+02,-7.953000000000000114e+01
1.070462189999999936e+02,-8.123000000000000398e+01
1.073793849999999992e+02,-8.087000000000000455e+01
1.077125510000000048e+02,-7.876000000000000512e+01
1.080457169999999962e+02,-8.076999999999999602e+01
1.083788830000000019e+02,-8.048999999999999488e+01
1.087120489999999933e+02,-8.025000000000000000e+01
1.090452149999999989e+02,-7.934000000000000341e+01
1.093783810000000045e+02,-8.190999999999999659e+01
1.097115469999999959e+02,-8.046999999999999886e+01
1.100447130000000016e+02,-8.031999999999999318e+01
1.103778789999999930e+02,-8.076999999999999602e+01
1.107110449999999986e+02,-8.212000000000000455e+01
1.110442110000000042e+02,-8.151000000000000512e+01
1.113773769999999956e+02,-7.798999999999999488e+01
1.117105430000000013e+02,-8.075000000000000000e+01
1.120437090000000069e+02,-8.084999999999999432e+01
1.123768749999999983e+02,-8.048999999999999488e+01
1.127100410000000039e+02,-8.098000000000000398e+01
1.130432069999999953e+02,-8.081000000000000227e+01
1.133763730000000010e+02,-8.056999999999999318e+01
1.137095390000000066e+02,-8.015999999999999659e+01
1.140427049999999980e+02,-7.989000000000000057e+01
1.143758710000000036e+02,-7.903000000000000114e+01
1.147090369999999950e+02,-8.078000000000000114e+01
1.150422030000000007e+02,-8.237000000000000455e+01
1.153753690000000063e+02,-8.067000000000000171e+01
1.157085349999999977e+02,-7.937999999999999545e+01
1.160417010000000033e+02,-8.009000000000000341e+01
1.163748669999999947e+02,-8.170999999999999375e+01
1.167080330000000004e+02,-7.903000000000000114e+01
1.170411990000000060e+02,-8.142000000000000171e+01
1.173743649999999974e+02,-7.879000000000000625e+01
1.177075310000000030e+02,-8.042000000000000171e+01
1.180406969999999944e+02,-7.904999999999999716e+01
1.183738630000000001e+02,-8.154999999999999716e+01
1.187070290000000057e+02,-8.012999999999999545e+01
1.190401949999999971e+02,-8.034000000000000341e+01
1.193733610000000027e+02,-7.996999999999999886e+01
1.197065269999999941e+02,-8.060999999999999943e+01
1.200396929999999998e+02,-8.193999999999999773e+01
1.203728590000000054e+02,-7.993999999999999773e+01
1.207060249999999968e+02,-8.098999999999999488e+01
1.210391910000000024e+02,-8.093000000000000682e+01
1.213723569999999938e+02,-8.087999999999999545e+01
1.217055229999999995e+02,-7.890000000000000568e+01
1.220386890000000051e+02,-8.031999999999999318e+01
1.223718549999999965e+02,-7.940000000000000568e+01
1.227050210000000021e+02,-8.048999999999999488e+01
1.230381869999999935e+02,-7.870000000000000284e+01
1.233713529999999992e+02,-7.859999999999999432e+01
1.237045190000000048e+02,-7.875000000000000000e+01
1.240376849999999962e+02,-8.146999999999999886e+01
1.243708510000000018e+02,-8.053000000000000114e+01
1.247040169999999932e+02,-2.050000000000000000e+01
1.250371829999999989e+02,-3.210000000000000142e+01
1.253703490000000045e+02,-7.967000000000000171e+01
1.257035149999999959e+02,-8.245999999999999375e+01
1.260366810000000015e+02,-7.787000000000000455e+01
1.263698469999999929e+02,-8.084999999999999432e+01
1.267030129999999986e+02,-7.926000000000000512e+01
1.270361790000000042e+02,-8.095999999999999375e+01
1.273693449999999956e+02,-8.121999999999999886e+01
1.277025110000000012e+02,-8.037999999999999545e+01
1.280356769999999926e+02,-8.051999999999999602e+01
1.283688429999999983e+02,-8.170000000000000284e+01
1.287020090000000039e+02,-7.909999999999999432e+01
1.290351750000000095e+02,-8.132999999999999829e+01
1.293683409999999867e+02,-7.998999999999999488e+01
1.297015069999999923e+02,-7.853000000000000114e+01
1.300346729999999980e+02,-7.906999999999999318e+01
1.303678390000000036e+02,-7.998999999999999488e+01
1.307010050000000092e+02,-7.900000000000000000e+01
1.310341709999999864e+02,-7.931000000000000227e+01
1.313673369999999920e+02,-8.084999999999999432e+01
1.317005029999999977e+02,-8.021999999999999886e+01
1.320336690000000033e+02,-8.021999999999999886e+01
1.323668350000000089e+02,-8.098999999999999488e+01
1.327000009999999861e+02,-8.004000000000000625e+01
1.330331669999999917e+02,-8.118999999999999773e+01
1.333663329999999974e+02,-8.042000000000000171e+01
1.336994990000000030e+02,-8.176999999999999602e+01
1.340326650000000086e+02,-7.981000000000000227e+01
1.343658309999999858e+02,-8.151000000000000512e+01
1.346989969999999914e+02,-8.006999999999999318e+01
1.350321629999999971e+02,-7.989000000000000057e+01
1.353653290000000027e+02,-7.973999999999999488e+01
1.356984950000000083e+02,-7.907999999999999829e+01
1.360316610000000139e+02,-8.109999999999999432e+01
1.363648269999999911e+02,-7.982999999999999829e+01
1.366979929999999968e+02,-8.207999999999999829e+01
1.370311590000000024e+02,-8.020999999999999375e+01
1.373643250000000080e+02,-7.832999999999999829e+01
1.376974910000000136e+02,-8.143999999999999773e+01
1.380306569999999908e+02,-8.268000000000000682e+01
