Trace1,
Freq,,Amp,,
               99933,Hz,              -61.39, dBm,
              433099,Hz,              -78.77, dBm,
              766265,Hz,              -81.59, dBm,
             1099431,Hz,              -80.70, dBm,
             1432597,Hz,              -80.02, dBm,
             1765763,Hz,              -81.57, dBm,
             2098929,Hz,              -81.02, dBm,
             2432095,Hz,              -81.72, dBm,
             2765261,Hz,              -82.98, dBm,
             3098427,Hz,              -80.37, dBm,
             3431593,Hz,              -80.59, dBm,
             3764759,Hz,              -81.12, dBm,
             4097925,Hz,              -78.45, dBm,
             4431091,Hz,              -81.08, dBm,
             4764257,Hz,              -79.06, dBm,
             5097423,Hz,              -80.90, dBm,
             5430589,Hz,              -79.76, dBm,
             5763755,Hz,              -81.80, dBm,
             6096921,Hz,              -80.84, dBm,
             6430087,Hz,              -82.83, dBm,
             6763253,Hz,              -81.47, dBm,
             7096419,Hz,              -79.25, dBm,
             7429585,Hz,              -82.34, dBm,
             7762751,Hz,              -82.66, dBm,
             8095917,Hz,              -79.88, dBm,
             8429083,Hz,              -79.17, dBm,
             8762249,Hz,              -79.93, dBm,
             9095415,Hz,              -80.56, dBm,
             9428581,Hz,              -80.26, dBm,
             9761747,Hz,              -74.16, dBm,
            10094913,Hz,              -82.12, dBm,
            10428079,Hz,              -80.80, dBm,
            10761245,Hz,              -79.25, dBm,
            11094411,Hz,              -77.31, dBm,
            11427577,Hz,              -80.96, dBm,
            11760743,Hz,              -79.87, dBm,
            12093909,Hz,              -79.93, dBm,
            12427075,Hz,              -79.32, dBm,
            12760241,Hz,              -79.43, dBm,
            13093407,Hz,              -83.30, dBm,
            13426573,Hz,              -80.95, dBm,
            13759739,Hz,              -80.86, dBm,
            14092905,Hz,              -80.36, dBm,
            14426071,Hz,              -79.32, dBm,
            14759237,Hz,              -74.72, dBm,
            15092403,Hz,              -81.33, dBm,
            15425569,Hz,              -80.11, dBm,
            15758735,Hz,              -80.25, dBm,
            16091901,Hz,              -80.39, dBm,
            16425067,Hz,              -79.93, dBm,
            16758233,Hz,              -78.56, dBm,
            17091399,Hz,              -81.24, dBm,
            17424565,Hz,              -78.69, dBm,
            17757731,Hz,              -80.38, dBm,
            18090897,Hz,              -80.03, dBm,
            18424063,Hz,              -81.80, dBm,
            18757229,Hz,              -83.51, dBm,
            19090395,Hz,              -81.46, dBm,
            19423561,Hz,              -80.14, dBm,
            19756727,Hz,              -78.74, dBm,
            20089893,Hz,              -79.73, dBm,
            20423059,Hz,              -80.56, dBm,
            20756225,Hz,              -79.38, dBm,
            21089391,Hz,              -79.30, dBm,
            21422557,Hz,              -79.79, dBm,
