Trace1,
Freq,,Amp,,
                   0,Hz,               -6.27, dBm,
             1666666,Hz,              -80.29, dBm,
             3333332,Hz,              -78.93, dBm,
             4999998,Hz,              -77.82, dBm,
             6666664,Hz,              -79.11, dBm,
             8333330,Hz,              -79.33, dBm,
             9999996,Hz,              -71.99, dBm,
            11666662,Hz,              -79.28, dBm,
            13333328,Hz,              -79.83, dBm,
            14999994,Hz,              -72.37, dBm,
            16666660,Hz,              -78.52, dBm,
            18333326,Hz,              -80.20, dBm,
            19999992,Hz,              -79.52, dBm,
            21666658,Hz,              -79.65, dBm,
            23333324,Hz,              -54.91, dBm,
            24999990,Hz,               -4.62, dBm,
            26666656,Hz,              -79.94, dBm,
            28333322,Hz,              -79.65, dBm,
            29999988,Hz,              -79.38, dBm,
            31666654,Hz,              -79.22, dBm,
            33333320,Hz,              -71.81, dBm,
            34999986,Hz,              -72.41, dBm,
            36666652,Hz,              -78.39, dBm,
            38333318,Hz,              -78.64, dBm,
            39999984,Hz,              -78.43, dBm,
            41666650,Hz,              -79.25, dBm,
            43333316,Hz,              -78.77, dBm,
            44999982,Hz,              -79.38, dBm,
            46666648,Hz,              -78.81, dBm,
            48333314,Hz,              -78.30, dBm,
            49999980,Hz,              -57.59, dBm,
            51666646,Hz,              -79.91, dBm,
            53333312,Hz,              -78.20, dBm,
            54999978,Hz,              -79.47, dBm,
            56666644,Hz,              -79.55, dBm,
            58333310,Hz,              -79.27, dBm,
            59999976,Hz,              -78.43, dBm,
            61666642,Hz,              -79.15, dBm,
            63333308,Hz,              -79.70, dBm,
            64999974,Hz,              -78.80, dBm,
            66666640,Hz,              -79.32, dBm,
            68333306,Hz,              -79.22, dBm,
            69999972,Hz,              -79.78, dBm,
            71666638,Hz,              -79.02, dBm,
            73333304,Hz,              -63.44, dBm,
            74999970,Hz,              -15.02, dBm,
            76666636,Hz,              -78.60, dBm,
            78333302,Hz,              -79.43, dBm,
            79999968,Hz,              -80.03, dBm,
            81666634,Hz,              -77.66, dBm,
            83333300,Hz,              -78.74, dBm,
            84999966,Hz,              -79.91, dBm,
            86666632,Hz,              -80.41, dBm,
            88333298,Hz,              -79.05, dBm,
            89999964,Hz,              -80.64, dBm,
            91666630,Hz,              -78.50, dBm,
            93333296,Hz,              -79.04, dBm,
            94999962,Hz,              -79.35, dBm,
            96666628,Hz,              -78.18, dBm,
            98333294,Hz,              -79.77, dBm,
            99999960,Hz,              -55.31, dBm,
           101666626,Hz,              -78.75, dBm,
           103333292,Hz,              -78.92, dBm,
           104999958,Hz,              -79.20, dBm,
           106666624,Hz,              -79.32, dBm,
           108333290,Hz,              -78.76, dBm,
           109999956,Hz,              -80.40, dBm,
           111666622,Hz,              -80.18, dBm,
           113333288,Hz,              -78.74, dBm,
           114999954,Hz,              -76.99, dBm,
           116666620,Hz,              -78.27, dBm,
           118333286,Hz,              -79.53, dBm,
           119999952,Hz,              -78.40, dBm,
           121666618,Hz,              -78.69, dBm,
           123333284,Hz,              -66.63, dBm,
           124999950,Hz,              -20.52, dBm,
           126666616,Hz,              -79.52, dBm,
           128333282,Hz,              -78.04, dBm,
           129999948,Hz,              -79.28, dBm,
           131666614,Hz,              -78.58, dBm,
           133333280,Hz,              -78.23, dBm,
           134999946,Hz,              -79.70, dBm,
           136666612,Hz,              -79.07, dBm,
           138333278,Hz,              -78.30, dBm,
           139999944,Hz,              -79.32, dBm,
           141666610,Hz,              -78.88, dBm,
           143333276,Hz,              -78.88, dBm,
           144999942,Hz,              -78.58, dBm,
           146666608,Hz,              -79.29, dBm,
           148333274,Hz,              -80.41, dBm,
           149999940,Hz,              -51.02, dBm,
           151666606,Hz,              -78.01, dBm,
           153333272,Hz,              -79.33, dBm,
           154999938,Hz,              -80.07, dBm,
           156666604,Hz,              -79.51, dBm,
           158333270,Hz,              -78.44, dBm,
           159999936,Hz,              -79.52, dBm,
           161666602,Hz,              -78.57, dBm,
           163333268,Hz,              -78.86, dBm,
           164999934,Hz,              -79.69, dBm,
           166666600,Hz,              -69.68, dBm,
           168333266,Hz,              -80.12, dBm,
           169999932,Hz,              -79.75, dBm,
           171666598,Hz,              -80.06, dBm,
           173333264,Hz,              -70.34, dBm,
           174999930,Hz,              -23.76, dBm,
           176666596,Hz,              -78.40, dBm,
