Trace1,
Freq,,Amp,,
            53073327,Hz,              -82.52, dBm,
            53406493,Hz,              -81.05, dBm,
            53739659,Hz,              -79.77, dBm,
            54072825,Hz,              -78.07, dBm,
            54405991,Hz,              -78.88, dBm,
            54739157,Hz,              -82.07, dBm,
            55072323,Hz,              -81.81, dBm,
            55405489,Hz,              -81.22, dBm,
            55738655,Hz,              -79.89, dBm,
            56071821,Hz,              -82.18, dBm,
            56404987,Hz,              -80.65, dBm,
            56738153,Hz,              -79.08, dBm,
            57071319,Hz,              -81.95, dBm,
            57404485,Hz,              -80.01, dBm,
            57737651,Hz,              -80.13, dBm,
            58070817,Hz,              -79.70, dBm,
            58403983,Hz,              -80.64, dBm,
            58737149,Hz,              -79.19, dBm,
            59070315,Hz,              -79.33, dBm,
            59403481,Hz,              -80.89, dBm,
            59736647,Hz,              -80.61, dBm,
            60069813,Hz,              -80.86, dBm,
            60402979,Hz,              -82.77, dBm,
            60736145,Hz,              -79.75, dBm,
            61069311,Hz,              -80.30, dBm,
            61402477,Hz,              -79.72, dBm,
            61735643,Hz,              -81.95, dBm,
            62068809,Hz,              -80.69, dBm,
            62401975,Hz,              -80.16, dBm,
            62735141,Hz,              -81.44, dBm,
            63068307,Hz,              -79.91, dBm,
            63401473,Hz,              -79.66, dBm,
            63734639,Hz,              -80.89, dBm,
            64067805,Hz,              -80.30, dBm,
            64400971,Hz,              -79.42, dBm,
            64734137,Hz,              -80.76, dBm,
            65067303,Hz,              -76.86, dBm,
            65400469,Hz,              -77.84, dBm,
            65733635,Hz,              -79.35, dBm,
            66066801,Hz,              -79.75, dBm,
            66399967,Hz,              -78.45, dBm,
            66733133,Hz,              -80.35, dBm,
            67066299,Hz,              -78.03, dBm,
            67399465,Hz,              -79.73, dBm,
            67732631,Hz,              -80.24, dBm,
            68065797,Hz,              -81.46, dBm,
            68398963,Hz,              -79.61, dBm,
            68732129,Hz,              -80.83, dBm,
            69065295,Hz,              -82.32, dBm,
            69398461,Hz,              -79.90, dBm,
            69731627,Hz,              -81.07, dBm,
            70064793,Hz,              -79.42, dBm,
            70397959,Hz,              -78.43, dBm,
            70731125,Hz,              -79.77, dBm,
            71064291,Hz,              -79.39, dBm,
            71397457,Hz,              -79.33, dBm,
            71730623,Hz,              -81.52, dBm,
            72063789,Hz,              -81.09, dBm,
            72396955,Hz,              -79.68, dBm,
            72730121,Hz,              -80.95, dBm,
            73063287,Hz,              -79.26, dBm,
            73396453,Hz,              -78.40, dBm,
            73729619,Hz,              -81.17, dBm,
            74062785,Hz,              -79.67, dBm,
            74395951,Hz,              -79.31, dBm,
            74729117,Hz,              -60.94, dBm,
            75062283,Hz,              -80.51, dBm,
            75395449,Hz,              -81.83, dBm,
            75728615,Hz,              -80.96, dBm,
            76061781,Hz,              -80.73, dBm,
            76394947,Hz,              -80.65, dBm,
            76728113,Hz,              -79.88, dBm,
            77061279,Hz,              -80.24, dBm,
            77394445,Hz,              -80.43, dBm,
            77727611,Hz,              -79.35, dBm,
            78060777,Hz,              -79.70, dBm,
            78393943,Hz,              -81.58, dBm,
            78727109,Hz,              -80.32, dBm,
            79060275,Hz,              -81.63, dBm,
            79393441,Hz,              -80.85, dBm,
            79726607,Hz,              -78.79, dBm,
            80059773,Hz,              -81.38, dBm,
            80392939,Hz,              -79.68, dBm,
            80726105,Hz,              -80.49, dBm,
            81059271,Hz,              -81.62, dBm,
            81392437,Hz,              -81.17, dBm,
            81725603,Hz,              -81.44, dBm,
            82058769,Hz,              -79.91, dBm,
            82391935,Hz,              -80.37, dBm,
            82725101,Hz,              -80.76, dBm,
            83058267,Hz,              -81.47, dBm,
            83391433,Hz,              -79.84, dBm,
            83724599,Hz,              -80.03, dBm,
            84057765,Hz,              -80.16, dBm,
            84390931,Hz,              -80.82, dBm,
            84724097,Hz,              -82.32, dBm,
            85057263,Hz,              -81.63, dBm,
            85390429,Hz,              -79.64, dBm,
            85723595,Hz,              -80.42, dBm,
            86056761,Hz,              -80.09, dBm,
            86389927,Hz,              -81.41, dBm,
            86723093,Hz,              -78.92, dBm,
            87056259,Hz,              -79.99, dBm,
            87389425,Hz,              -80.39, dBm,
            87722591,Hz,              -80.97, dBm,
            88055757,Hz,              -77.95, dBm,
            88388923,Hz,              -80.96, dBm,
            88722089,Hz,              -78.17, dBm,
            89055255,Hz,              -78.79, dBm,
            89388421,Hz,              -79.54, dBm,
            89721587,Hz,              -81.29, dBm,
            90054753,Hz,              -81.40, dBm,
            90387919,Hz,              -80.91, dBm,
            90721085,Hz,              -81.26, dBm,
            91054251,Hz,              -81.10, dBm,
            91387417,Hz,              -79.24, dBm,
            91720583,Hz,              -80.11, dBm,
            92053749,Hz,              -80.58, dBm,
            92386915,Hz,              -80.23, dBm,
            92720081,Hz,              -79.82, dBm,
            93053247,Hz,              -81.28, dBm,
            93386413,Hz,              -79.58, dBm,
            93719579,Hz,              -79.52, dBm,
            94052745,Hz,              -79.97, dBm,
            94385911,Hz,              -78.38, dBm,
            94719077,Hz,              -80.06, dBm,
            95052243,Hz,              -79.98, dBm,
            95385409,Hz,              -81.27, dBm,
            95718575,Hz,              -80.67, dBm,
            96051741,Hz,              -82.11, dBm,
            96384907,Hz,              -80.01, dBm,
            96718073,Hz,              -79.61, dBm,
            97051239,Hz,              -82.09, dBm,
            97384405,Hz,              -80.95, dBm,
            97717571,Hz,              -80.21, dBm,
            98050737,Hz,              -80.49, dBm,
            98383903,Hz,              -81.22, dBm,
            98717069,Hz,              -78.17, dBm,
            99050235,Hz,              -79.55, dBm,
            99383401,Hz,              -80.35, dBm,
            99716567,Hz,              -75.06, dBm,
           100049733,Hz,              -80.91, dBm,
           100382899,Hz,              -80.50, dBm,
           100716065,Hz,              -79.72, dBm,
           101049231,Hz,              -80.45, dBm,
           101382397,Hz,              -79.92, dBm,
           101715563,Hz,              -80.67, dBm,
           102048729,Hz,              -80.54, dBm,
           102381895,Hz,              -79.45, dBm,
           102715061,Hz,              -81.69, dBm,
           103048227,Hz,              -80.71, dBm,
           103381393,Hz,              -78.29, dBm,
           103714559,Hz,              -81.29, dBm,
           104047725,Hz,              -78.93, dBm,
           104380891,Hz,              -81.59, dBm,
           104714057,Hz,              -81.86, dBm,
           105047223,Hz,              -81.40, dBm,
           105380389,Hz,              -80.36, dBm,
           105713555,Hz,              -78.92, dBm,
           106046721,Hz,              -79.63, dBm,
           106379887,Hz,              -80.81, dBm,
           106713053,Hz,              -81.19, dBm,
           107046219,Hz,              -80.08, dBm,
           107379385,Hz,              -81.24, dBm,
           107712551,Hz,              -79.45, dBm,
           108045717,Hz,              -79.03, dBm,
           108378883,Hz,              -81.33, dBm,
           108712049,Hz,              -80.97, dBm,
           109045215,Hz,              -80.68, dBm,
           109378381,Hz,              -77.93, dBm,
