Trace1,
Freq,,Amp,,
                   0,Hz,               -6.23, dBm,
              333333,Hz,              -76.68, dBm,
              666666,Hz,              -79.91, dBm,
              999999,Hz,              -80.23, dBm,
             1333332,Hz,              -80.49, dBm,
             1666665,Hz,              -80.36, dBm,
             1999998,Hz,              -81.05, dBm,
             2333331,Hz,              -81.98, dBm,
             2666664,Hz,              -81.42, dBm,
             2999997,Hz,              -80.12, dBm,
             3333330,Hz,              -80.80, dBm,
             3666663,Hz,              -78.15, dBm,
             3999996,Hz,              -80.75, dBm,
             4333329,Hz,              -79.37, dBm,
             4666662,Hz,              -50.81, dBm,
             4999995,Hz,               -5.30, dBm,
             5333328,Hz,              -79.30, dBm,
             5666661,Hz,              -78.81, dBm,
             5999994,Hz,              -80.85, dBm,
             6333327,Hz,              -80.74, dBm,
             6666660,Hz,              -80.70, dBm,
             6999993,Hz,              -83.50, dBm,
             7333326,Hz,              -82.12, dBm,
             7666659,Hz,              -80.01, dBm,
             7999992,Hz,              -80.58, dBm,
             8333325,Hz,              -78.88, dBm,
             8666658,Hz,              -80.29, dBm,
             8999991,Hz,              -80.73, dBm,
             9333324,Hz,              -82.88, dBm,
             9666657,Hz,              -80.71, dBm,
             9999990,Hz,              -50.85, dBm,
            10333323,Hz,              -80.58, dBm,
            10666656,Hz,              -81.43, dBm,
            10999989,Hz,              -80.70, dBm,
            11333322,Hz,              -81.32, dBm,
            11666655,Hz,              -80.04, dBm,
            11999988,Hz,              -78.80, dBm,
            12333321,Hz,              -79.84, dBm,
            12666654,Hz,              -80.41, dBm,
            12999987,Hz,              -80.86, dBm,
            13333320,Hz,              -80.73, dBm,
            13666653,Hz,              -80.11, dBm,
            13999986,Hz,              -83.35, dBm,
            14333319,Hz,              -80.96, dBm,
            14666652,Hz,              -67.17, dBm,
            14999985,Hz,              -22.85, dBm,
            15333318,Hz,              -80.13, dBm,
            15666651,Hz,              -78.15, dBm,
            15999984,Hz,              -80.74, dBm,
            16333317,Hz,              -81.65, dBm,
            16666650,Hz,              -82.16, dBm,
            16999983,Hz,              -78.06, dBm,
            17333316,Hz,              -78.71, dBm,
            17666649,Hz,              -78.79, dBm,
            17999982,Hz,              -79.40, dBm,
            18333315,Hz,              -80.77, dBm,
            18666648,Hz,              -79.66, dBm,
            18999981,Hz,              -81.37, dBm,
            19333314,Hz,              -78.95, dBm,
            19666647,Hz,              -79.80, dBm,
            19999980,Hz,              -70.18, dBm,
            20333313,Hz,              -80.74, dBm,
            20666646,Hz,              -79.01, dBm,
            20999979,Hz,              -80.60, dBm,
            21333312,Hz,              -78.17, dBm,
            21666645,Hz,              -81.02, dBm,
            21999978,Hz,              -79.34, dBm,
            22333311,Hz,              -80.96, dBm,
            22666644,Hz,              -80.53, dBm,
            22999977,Hz,              -81.34, dBm,
            23333310,Hz,              -80.03, dBm,
            23666643,Hz,              -78.45, dBm,
            23999976,Hz,              -80.46, dBm,
            24333309,Hz,              -83.33, dBm,
            24666642,Hz,              -72.44, dBm,
            24999975,Hz,              -31.84, dBm,
            25333308,Hz,              -80.94, dBm,
            25666641,Hz,              -80.75, dBm,
            25999974,Hz,              -80.89, dBm,
            26333307,Hz,              -78.89, dBm,
            26666640,Hz,              -82.29, dBm,
            26999973,Hz,              -80.23, dBm,
            27333306,Hz,              -82.80, dBm,
            27666639,Hz,              -80.35, dBm,
            27999972,Hz,              -79.27, dBm,
            28333305,Hz,              -80.20, dBm,
            28666638,Hz,              -80.49, dBm,
            28999971,Hz,              -79.60, dBm,
            29333304,Hz,              -81.05, dBm,
            29666637,Hz,              -81.32, dBm,
            29999970,Hz,              -70.79, dBm,
            30333303,Hz,              -81.35, dBm,
            30666636,Hz,              -79.98, dBm,
            30999969,Hz,              -80.00, dBm,
            31333302,Hz,              -79.32, dBm,
            31666635,Hz,              -80.19, dBm,
            31999968,Hz,              -78.95, dBm,
            32333301,Hz,              -80.58, dBm,
            32666634,Hz,              -80.20, dBm,
            32999967,Hz,              -79.97, dBm,
            33333300,Hz,              -72.14, dBm,
            33666633,Hz,              -81.65, dBm,
            33999966,Hz,              -81.72, dBm,
            34333299,Hz,              -80.90, dBm,
            34666632,Hz,              -79.84, dBm,
            34999965,Hz,              -37.68, dBm,
            35333298,Hz,              -81.64, dBm,
            35666631,Hz,              -78.50, dBm,
            35999964,Hz,              -81.04, dBm,
            36333297,Hz,              -82.39, dBm,
            36666630,Hz,              -78.78, dBm,
            36999963,Hz,              -80.66, dBm,
            37333296,Hz,              -78.85, dBm,
            37666629,Hz,              -80.80, dBm,
            37999962,Hz,              -78.58, dBm,
            38333295,Hz,              -77.80, dBm,
            38666628,Hz,              -79.79, dBm,
            38999961,Hz,              -80.32, dBm,
            39333294,Hz,              -78.46, dBm,
            39666627,Hz,              -79.88, dBm,
            39999960,Hz,              -72.91, dBm,
            40333293,Hz,              -81.34, dBm,
            40666626,Hz,              -80.43, dBm,
            40999959,Hz,              -81.11, dBm,
            41333292,Hz,              -80.60, dBm,
            41666625,Hz,              -79.03, dBm,
            41999958,Hz,              -80.43, dBm,
            42333291,Hz,              -80.76, dBm,
            42666624,Hz,              -81.77, dBm,
            42999957,Hz,              -82.55, dBm,
            43333290,Hz,              -80.86, dBm,
            43666623,Hz,              -80.71, dBm,
            43999956,Hz,              -80.06, dBm,
            44333289,Hz,              -79.85, dBm,
            44666622,Hz,              -80.73, dBm,
            44999955,Hz,              -42.24, dBm,
            45333288,Hz,              -80.51, dBm,
            45666621,Hz,              -78.91, dBm,
            45999954,Hz,              -82.54, dBm,
            46333287,Hz,              -79.18, dBm,
            46666620,Hz,              -81.02, dBm,
            46999953,Hz,              -81.53, dBm,
            47333286,Hz,              -81.65, dBm,
            47666619,Hz,              -80.30, dBm,
            47999952,Hz,              -81.15, dBm,
            48333285,Hz,              -81.52, dBm,
            48666618,Hz,              -79.31, dBm,
            48999951,Hz,              -79.29, dBm,
            49333284,Hz,              -79.11, dBm,
            49666617,Hz,              -78.76, dBm,
            49999950,Hz,              -76.94, dBm,
            50333283,Hz,              -81.99, dBm,
            50666616,Hz,              -78.70, dBm,
            50999949,Hz,              -77.99, dBm,
            51333282,Hz,              -80.33, dBm,
            51666615,Hz,              -80.00, dBm,
            51999948,Hz,              -79.08, dBm,
            52333281,Hz,              -80.76, dBm,
            52666614,Hz,              -79.78, dBm,
            52999947,Hz,              -79.76, dBm,
            53333280,Hz,              -82.02, dBm,
            53666613,Hz,              -80.30, dBm,
            53999946,Hz,              -81.65, dBm,
            54333279,Hz,              -80.58, dBm,
            54666612,Hz,              -81.73, dBm,
            54999945,Hz,              -45.36, dBm,
            55333278,Hz,              -80.95, dBm,
            55666611,Hz,              -78.65, dBm,
            55999944,Hz,              -80.89, dBm,
            56333277,Hz,              -80.64, dBm,
            56666610,Hz,              -80.53, dBm,
            56999943,Hz,              -79.27, dBm,
            57333276,Hz,              -80.27, dBm,
            57666609,Hz,              -79.61, dBm,
            57999942,Hz,              -80.07, dBm,
            58333275,Hz,              -79.24, dBm,
            58666608,Hz,              -80.26, dBm,
            58999941,Hz,              -81.22, dBm,
            59333274,Hz,              -78.82, dBm,
            59666607,Hz,              -79.79, dBm,
            59999940,Hz,              -74.65, dBm,
            60333273,Hz,              -81.24, dBm,
            60666606,Hz,              -81.38, dBm,
            60999939,Hz,              -76.34, dBm,
            61333272,Hz,              -81.25, dBm,
            61666605,Hz,              -78.15, dBm,
            61999938,Hz,              -81.87, dBm,
            62333271,Hz,              -80.47, dBm,
            62666604,Hz,              -79.57, dBm,
            62999937,Hz,              -80.89, dBm,
            63333270,Hz,              -78.25, dBm,
            63666603,Hz,              -80.69, dBm,
            63999936,Hz,              -81.67, dBm,
            64333269,Hz,              -79.27, dBm,
            64666602,Hz,              -79.69, dBm,
            64999935,Hz,              -48.63, dBm,
            65333268,Hz,              -80.02, dBm,
            65666601,Hz,              -79.97, dBm,
            65999934,Hz,              -81.79, dBm,
            66333267,Hz,              -80.72, dBm,
            66666600,Hz,              -80.96, dBm,
            66999933,Hz,              -79.89, dBm,
            67333266,Hz,              -80.57, dBm,
            67666599,Hz,              -80.94, dBm,
            67999932,Hz,              -78.98, dBm,
            68333265,Hz,              -78.11, dBm,
            68666598,Hz,              -79.72, dBm,
            68999931,Hz,              -80.76, dBm,
            69333264,Hz,              -79.71, dBm,
            69666597,Hz,              -81.56, dBm,
            69999930,Hz,              -79.00, dBm,
            70333263,Hz,              -80.98, dBm,
            70666596,Hz,              -81.05, dBm,
            70999929,Hz,              -81.02, dBm,
            71333262,Hz,              -77.85, dBm,
            71666595,Hz,              -80.00, dBm,
            71999928,Hz,              -80.17, dBm,
            72333261,Hz,              -79.91, dBm,
            72666594,Hz,              -79.44, dBm,
            72999927,Hz,              -78.53, dBm,
            73333260,Hz,              -80.79, dBm,
            73666593,Hz,              -82.16, dBm,
            73999926,Hz,              -80.07, dBm,
            74333259,Hz,              -82.07, dBm,
            74666592,Hz,              -78.96, dBm,
            74999925,Hz,              -51.08, dBm,
            75333258,Hz,              -81.33, dBm,
            75666591,Hz,              -81.21, dBm,
            75999924,Hz,              -78.34, dBm,
            76333257,Hz,              -81.42, dBm,
            76666590,Hz,              -82.51, dBm,
            76999923,Hz,              -80.89, dBm,
            77333256,Hz,              -78.91, dBm,
            77666589,Hz,              -83.27, dBm,
            77999922,Hz,              -82.13, dBm,
            78333255,Hz,              -80.29, dBm,
            78666588,Hz,              -81.54, dBm,
            78999921,Hz,              -80.52, dBm,
            79333254,Hz,              -80.89, dBm,
            79666587,Hz,              -82.12, dBm,
            79999920,Hz,              -77.68, dBm,
            80333253,Hz,              -79.33, dBm,
            80666586,Hz,              -76.34, dBm,
            80999919,Hz,              -77.68, dBm,
            81333252,Hz,              -80.64, dBm,
            81666585,Hz,              -79.76, dBm,
            81999918,Hz,              -79.81, dBm,
            82333251,Hz,              -79.63, dBm,
            82666584,Hz,              -78.64, dBm,
            82999917,Hz,              -80.11, dBm,
            83333250,Hz,              -81.57, dBm,
            83666583,Hz,              -80.26, dBm,
            83999916,Hz,              -81.29, dBm,
            84333249,Hz,              -81.58, dBm,
            84666582,Hz,              -80.27, dBm,
            84999915,Hz,              -52.81, dBm,
            85333248,Hz,              -80.06, dBm,
            85666581,Hz,              -79.56, dBm,
            85999914,Hz,              -80.23, dBm,
            86333247,Hz,              -81.33, dBm,
            86666580,Hz,              -79.71, dBm,
            86999913,Hz,              -81.76, dBm,
            87333246,Hz,              -81.35, dBm,
            87666579,Hz,              -78.95, dBm,
            87999912,Hz,              -79.66, dBm,
            88333245,Hz,              -80.84, dBm,
            88666578,Hz,              -77.73, dBm,
            88999911,Hz,              -80.83, dBm,
            89333244,Hz,              -80.69, dBm,
            89666577,Hz,              -80.34, dBm,
            89999910,Hz,              -79.92, dBm,
            90333243,Hz,              -80.46, dBm,
            90666576,Hz,              -81.21, dBm,
            90999909,Hz,              -79.61, dBm,
            91333242,Hz,              -80.52, dBm,
            91666575,Hz,              -81.99, dBm,
            91999908,Hz,              -80.63, dBm,
            92333241,Hz,              -80.97, dBm,
            92666574,Hz,              -78.97, dBm,
            92999907,Hz,              -80.75, dBm,
            93333240,Hz,              -79.72, dBm,
            93666573,Hz,              -80.73, dBm,
            93999906,Hz,              -80.08, dBm,
            94333239,Hz,              -80.42, dBm,
            94666572,Hz,              -80.78, dBm,
            94999905,Hz,              -55.16, dBm,
            95333238,Hz,              -81.83, dBm,
            95666571,Hz,              -79.76, dBm,
            95999904,Hz,              -81.98, dBm,
            96333237,Hz,              -79.96, dBm,
            96666570,Hz,              -80.16, dBm,
            96999903,Hz,              -80.16, dBm,
            97333236,Hz,              -80.11, dBm,
            97666569,Hz,              -80.73, dBm,
            97999902,Hz,              -80.22, dBm,
            98333235,Hz,              -81.93, dBm,
            98666568,Hz,              -81.13, dBm,
            98999901,Hz,              -81.48, dBm,
            99333234,Hz,              -80.88, dBm,
            99666567,Hz,              -79.43, dBm,
            99999900,Hz,              -69.79, dBm,
           100333233,Hz,              -78.70, dBm,
           100666566,Hz,              -81.10, dBm,
           100999899,Hz,              -81.06, dBm,
           101333232,Hz,              -79.39, dBm,
           101666565,Hz,              -80.48, dBm,
           101999898,Hz,              -80.52, dBm,
           102333231,Hz,              -80.53, dBm,
           102666564,Hz,              -79.51, dBm,
           102999897,Hz,              -79.61, dBm,
           103333230,Hz,              -77.80, dBm,
           103666563,Hz,              -80.73, dBm,
           103999896,Hz,              -82.74, dBm,
           104333229,Hz,              -80.53, dBm,
           104666562,Hz,              -80.47, dBm,
           104999895,Hz,              -57.06, dBm,
           105333228,Hz,              -83.04, dBm,
           105666561,Hz,              -78.07, dBm,
           105999894,Hz,              -81.82, dBm,
           106333227,Hz,              -80.80, dBm,
           106666560,Hz,              -80.47, dBm,
           106999893,Hz,              -80.15, dBm,
           107333226,Hz,              -80.99, dBm,
           107666559,Hz,              -82.61, dBm,
           107999892,Hz,              -81.10, dBm,
           108333225,Hz,              -80.75, dBm,
           108666558,Hz,              -77.54, dBm,
           108999891,Hz,              -78.80, dBm,
           109333224,Hz,              -80.90, dBm,
           109666557,Hz,              -80.63, dBm,
           109999890,Hz,              -78.91, dBm,
           110333223,Hz,              -80.45, dBm,
           110666556,Hz,              -81.54, dBm,
           110999889,Hz,              -81.47, dBm,
           111333222,Hz,              -81.38, dBm,
           111666555,Hz,              -80.17, dBm,
           111999888,Hz,              -80.72, dBm,
           112333221,Hz,              -79.04, dBm,
           112666554,Hz,              -80.91, dBm,
           112999887,Hz,              -82.34, dBm,
           113333220,Hz,              -80.96, dBm,
